purchase_date,year,quarter,month,month_name,week,day_of_week,is_weekend
2017-06-11,2017,2,6,June,23,Sunday,True
2017-06-12,2017,2,6,June,24,Monday,False
2017-06-13,2017,2,6,June,24,Tuesday,False
2017-06-14,2017,2,6,June,24,Wednesday,False
2017-06-15,2017,2,6,June,24,Thursday,False
2017-06-16,2017,2,6,June,24,Friday,False
2017-06-17,2017,2,6,June,24,Saturday,True
2017-06-18,2017,2,6,June,24,Sunday,True
2017-06-19,2017,2,6,June,25,Monday,False
2017-06-20,2017,2,6,June,25,Tuesday,False
2017-06-21,2017,2,6,June,25,Wednesday,False
2017-06-22,2017,2,6,June,25,Thursday,False
2017-06-23,2017,2,6,June,25,Friday,False
2017-06-24,2017,2,6,June,25,Saturday,True
2017-06-25,2017,2,6,June,25,Sunday,True
2017-06-26,2017,2,6,June,26,Monday,False
2017-06-27,2017,2,6,June,26,Tuesday,False
2017-06-28,2017,2,6,June,26,Wednesday,False
2017-06-29,2017,2,6,June,26,Thursday,False
2017-06-30,2017,2,6,June,26,Friday,False
2017-07-01,2017,3,7,July,26,Saturday,True
2017-07-02,2017,3,7,July,26,Sunday,True
2017-07-03,2017,3,7,July,27,Monday,False
2017-07-04,2017,3,7,July,27,Tuesday,False
2017-07-05,2017,3,7,July,27,Wednesday,False
2017-07-06,2017,3,7,July,27,Thursday,False
2017-07-07,2017,3,7,July,27,Friday,False
2017-07-08,2017,3,7,July,27,Saturday,True
2017-07-09,2017,3,7,July,27,Sunday,True
2017-07-10,2017,3,7,July,28,Monday,False
2017-07-11,2017,3,7,July,28,Tuesday,False
2017-07-12,2017,3,7,July,28,Wednesday,False
2017-07-13,2017,3,7,July,28,Thursday,False
2017-07-14,2017,3,7,July,28,Friday,False
2017-07-15,2017,3,7,July,28,Saturday,True
2017-07-16,2017,3,7,July,28,Sunday,True
2017-07-17,2017,3,7,July,29,Monday,False
2017-07-18,2017,3,7,July,29,Tuesday,False
2017-07-19,2017,3,7,July,29,Wednesday,False
2017-07-20,2017,3,7,July,29,Thursday,False
2017-07-21,2017,3,7,July,29,Friday,False
2017-07-22,2017,3,7,July,29,Saturday,True
2017-07-23,2017,3,7,July,29,Sunday,True
2017-07-24,2017,3,7,July,30,Monday,False
2017-07-25,2017,3,7,July,30,Tuesday,False
2017-07-26,2017,3,7,July,30,Wednesday,False
2017-07-27,2017,3,7,July,30,Thursday,False
2017-07-28,2017,3,7,July,30,Friday,False
2017-07-29,2017,3,7,July,30,Saturday,True
2017-07-30,2017,3,7,July,30,Sunday,True
2017-07-31,2017,3,7,July,31,Monday,False
2017-08-01,2017,3,8,August,31,Tuesday,False
2017-08-02,2017,3,8,August,31,Wednesday,False
2017-08-03,2017,3,8,August,31,Thursday,False
2017-08-04,2017,3,8,August,31,Friday,False
2017-08-05,2017,3,8,August,31,Saturday,True
2017-08-06,2017,3,8,August,31,Sunday,True
2017-08-07,2017,3,8,August,32,Monday,False
2017-08-08,2017,3,8,August,32,Tuesday,False
2017-08-09,2017,3,8,August,32,Wednesday,False
2017-08-10,2017,3,8,August,32,Thursday,False
2017-08-11,2017,3,8,August,32,Friday,False
2017-08-12,2017,3,8,August,32,Saturday,True
2017-08-13,2017,3,8,August,32,Sunday,True
2017-08-14,2017,3,8,August,33,Monday,False
2017-08-15,2017,3,8,August,33,Tuesday,False
2017-08-16,2017,3,8,August,33,Wednesday,False
2017-08-17,2017,3,8,August,33,Thursday,False
2017-08-18,2017,3,8,August,33,Friday,False
2017-08-19,2017,3,8,August,33,Saturday,True
2017-08-20,2017,3,8,August,33,Sunday,True
2017-08-21,2017,3,8,August,34,Monday,False
2017-08-22,2017,3,8,August,34,Tuesday,False
2017-08-23,2017,3,8,August,34,Wednesday,False
2017-08-24,2017,3,8,August,34,Thursday,False
2017-08-25,2017,3,8,August,34,Friday,False
2017-08-26,2017,3,8,August,34,Saturday,True
2017-08-27,2017,3,8,August,34,Sunday,True
2017-08-28,2017,3,8,August,35,Monday,False
2017-08-29,2017,3,8,August,35,Tuesday,False
2017-08-30,2017,3,8,August,35,Wednesday,False
2017-08-31,2017,3,8,August,35,Thursday,False
2017-09-01,2017,3,9,September,35,Friday,False
2017-09-02,2017,3,9,September,35,Saturday,True
2017-09-03,2017,3,9,September,35,Sunday,True
2017-09-04,2017,3,9,September,36,Monday,False
2017-09-05,2017,3,9,September,36,Tuesday,False
2017-09-06,2017,3,9,September,36,Wednesday,False
2017-09-07,2017,3,9,September,36,Thursday,False
2017-09-08,2017,3,9,September,36,Friday,False
2017-09-09,2017,3,9,September,36,Saturday,True
2017-09-10,2017,3,9,September,36,Sunday,True
2017-09-11,2017,3,9,September,37,Monday,False
2017-09-12,2017,3,9,September,37,Tuesday,False
2017-09-13,2017,3,9,September,37,Wednesday,False
2017-09-14,2017,3,9,September,37,Thursday,False
2017-09-15,2017,3,9,September,37,Friday,False
2017-09-16,2017,3,9,September,37,Saturday,True
2017-09-17,2017,3,9,September,37,Sunday,True
2017-09-18,2017,3,9,September,38,Monday,False
2017-09-19,2017,3,9,September,38,Tuesday,False
2017-09-20,2017,3,9,September,38,Wednesday,False
2017-09-21,2017,3,9,September,38,Thursday,False
2017-09-22,2017,3,9,September,38,Friday,False
2017-09-23,2017,3,9,September,38,Saturday,True
2017-09-24,2017,3,9,September,38,Sunday,True
2017-09-25,2017,3,9,September,39,Monday,False
2017-09-26,2017,3,9,September,39,Tuesday,False
2017-09-27,2017,3,9,September,39,Wednesday,False
2017-09-28,2017,3,9,September,39,Thursday,False
2017-09-29,2017,3,9,September,39,Friday,False
2017-09-30,2017,3,9,September,39,Saturday,True
2017-10-01,2017,4,10,October,39,Sunday,True
2017-10-02,2017,4,10,October,40,Monday,False
2017-10-03,2017,4,10,October,40,Tuesday,False
2017-10-04,2017,4,10,October,40,Wednesday,False
2017-10-05,2017,4,10,October,40,Thursday,False
2017-10-06,2017,4,10,October,40,Friday,False
2017-10-07,2017,4,10,October,40,Saturday,True
2017-10-08,2017,4,10,October,40,Sunday,True
